A- :  without or lack of
CHOLEDOCH/O- :  gallbladder duct (canal)
CHOLERA :  biliary acute diarrhea
CHONDR/O- :  cartilage
CHROM/O- :  colored
CHYME- :  juice
-CICATRIX :  scar
-CID :  to kill
CIL/I- :  eyelash-like
CINE/O- :  movement filming
CIRCUM- :  around
CIRRH/O- :  yellow-orange
-CIS :  cut or to cut
-CLAST :  breakdown
CLAVICUL/O- :  collarbone
CLEIDO- :  clavicle or collarbone
CLINO- :  bent
-CLYSIS :  irrigation or injection
CO- :  two
COAGUL/O- :  clotting or to clot
-COCCUS :  berry
COCCYG/O- :  tailbone
COCHLE/O- :  snail-like
COL/O- :  colon (big or large intestine)
COLPO- :  vagina
COM- :  together
COMATO- :  deep sleep
CONCUSS/I- :  violent shaking
CONDYLO- :  knuckle
CONI/O- :  dust
-CONIS :  cone-shaped
CONJUNCTIV/O- :  joined together
CONTRA- :  against
CONTUS/I- :  bruise
CONVOLO- :  to roll together
CORD- :  vocal cords or cord
CORI/O- :  skin
CORNE/O- :  cornea or horn shape
CORNU- :  horn or horny
CORON/O- :  crowning
CORONAL PLANE :  crowning or frontal body cut
CORP/O- :  body
CORTIC/O- :  bark, outer bark, rind, cortex
COST/O- :  rib
CRANI/O- :  skull
-CREAS :  fleshy or flesh
CRENAT/O- :  notched
-CRINE :  secrete
-CRIT :  separate
CRUC/I- :  cross or cross-like
CRYO- :  cold
CRYPTO- :  hidden
CUB/O- :  cube or cube-shaped
CUBIT/O- :  elbow
CULD/O- :  blind pouch
-CULE :  little
CURETT/O- :  scooping or scraping
-CUSIS :  hearing
CUSP/I- :  pointed
CUTI/O-, CUT-, CUTI- :  skin
CYAN/O- :  blue
CYCL/O- :  circle
-CYESIS :  pregnancy
CYST/O- :  bladder or sac
CYTE- :  cell or chamber
-CYTOSIS :  increase in numbers
DACRYO- :  tear
DACTYLO- :  digits (fingers and toes)
DE- :  away
DECI- :  one tenth (1/10)
DEEP :  most inward
DEKA- :  ten
DELTA :  fan-shaped or triangular
DEM/O- :  people
DEMI- :  half
DENDR/O- :  tree-shaped
DENT/O- :  tooth or teeth
DEPRESS/O- :  lower
DERM/O- :  skin
DERMAT/O- :  skin
-DESIS :  binding or to bind
DEXTR/O- :  right
DIA- :  across, through, total, between
-DIDYMUS :  testis or teste
DIFFERENT- :  to separate
DIGIT- :  finger or toe
DIPLO- :  double or two
DIPS/O- :  thirst or thirsty
DIPHTHER/I- :  membrane
DIS- :  away from or reverse
DIST/O- :  farther from
DIVERTICUL/O- :  outpouching
DOCH/O- :  duct or canal
DOCT/O- :  to teach or teacher
DOL/O- :  pain
DORS/O- :  back
DROMO- :  running
DUCT/O- :  to draw or to lead away
DUODEN/O- :  twelve
DURA- :  hard
DY/O- :  two or a pair
DYNAM/O- :  work or strength
-DYNIA :  pain
DYS- :  difficult, faulty, painful
-E (suffix) :  instrument
E- (prefix) :  out or remove
EC- :  outside, outward, outer, out
ECCRINE- :  secreting or to secrete
ECHO- :  sound
-ECTASIS :  enlargement or dilation
-ECTOMY :  excision or removal
ECZEMA :  to boil out
EDEMA- :  swelling
EF- :  away or out
ELECTR/O- :  electrical
-ELLUM :  lesser or smaller
EM- :  in
EMBRYO- :  early
-EMESIS :  vomit
-EMIA :  blood
EMPHYSEMA :  puffed up
EN- :  in
ENAMEL :  hard
EN/CEPHAL/O- :  within head (referring to the brain)
ENDO- :  within or inside
ENEMA :  injection
ENTERO- :  intestine (usually refers to small intestine)
ENURESIS :  to void or expel urine
EOSIN/O- :  rose-red color
EPI- :  upon
EPISI/O- :  pubic region or vulva
ERGO- :  work or labor
ERYTHEMAT/O- :  red or flushed
ERYTHR/O- :  red
ESCHAR :  scab
ESO- :  toward
ESTHES/I- :  physical feeling
ESTR/O- :  female
ETI/O- :  cause
EU- :  good or normal
EX- :  out, outside, outward
FACET/O- :  face
FASC/I- :  band
FEBR/O- :  fever
FEC/O- :  stool or fecal matter
FEMOR/O- :  thigh
-FERENCE :  to carry
FERRO- :  iron
FET/O- :  young
FIBRILL/O- :  to quiver
FIBRO- :  fiber
FIBUL/O- :  to clasp
FIL- :  thread
FISS- :  to split or splitting
FISTUL/O- :  pipe or pipe stem
FLEX- :  to bend
FLU- :  flowing
-FLUX :  to flow
FORAMEN/O- :  opening
FORE- :  before
FRACT/O- :  to break
FRONT/O- :  forehead or before
FUNGI- :  mushroom
FURUN/O- :  boil
GALACT/O- :  milk
GANGLI/O- :  knot, swelling, or collection
GANGREN/O- :  eating sore
GASTR/O- :  stomach
GEN/O- :  race
GENI/O- :  chin
GENIT/O- :  reproductive or birth
GENU- :  knee
-GEN :  origin, develop, to produce, to form, to make
GER/O- :  old or old age
GEST- :  to bear or separate
GINGIV/O- :  gum
GLANDUL/O- :  little acorn or gland
GLAUC/O- :  waterfall or gray
GLI/O- :  glue or glue-like
GLOMERUL/O- :  small round mass or tiny ball
GLOSS/O- :  tongue
GLOTT/O- :  back of tongue
GLUT- :  buttocks
GLYCO- :  sugar
-GNOSIS :  knowledge
GOITER :  swelling (throat)
GON/O- :  seed or seed producer
GOUT :  a drop
-GRADE :  a step, stage, or degree in a process
-GRAFT :  to probe or cut with a knife
-GRAM :  to record
-GRAPHY :  procedure of using an instrument to do recording
-GRAPH :  instrument
GRAVID/O- :  heavy or pregnant
GROIN :  inguinal region
GUMM/O- :  gum or gum-like
GUST/O- :  tasting or to taste
GYNEC/O- :  woman
HALLUX :  great or big toe
HAPLO- :  half (single)
HEALTH :  wholeness
HELICO- :  spiral
HELIO- :  sun
HELMINTH/O- :  worms or worm
HEM/O- :  blood
HEME- :  iron
HEMI- :  half or one half
HEPAT/O- :  liver
HEPT/A- :  seven
HERNI/O- :  rupture or protrusion
HERPES :  to creep
HETER/O- :  other or opposite
HIAT- :  an opening
HIDR/O- :  sweat
HIRSUT- :  hairy or profound hair
-HISCENCE :  to gape open
HISTO- :  web-like or tissue
HOLIST/O- :  whole
HOMEO- :  same, constant, or unchanged
HORMON/O- :  to urge on
HUMER/O- :  arm (upper)
HYAL/O- :  glassy or glass-like
HYDRO- :  water
HYPER- :  increase or above
HYPN/O- :  sleep
HYPO- :  under or below
HYSTER/O- :  uterus
IATR/O- :  treat or cure, procedure of treating
-IA :  refers to, condition, state of
ICHTHY- :  fish or fish-like
-ICIAN :  one who
-ICLE :  small or tiny
-ISY :  inflamed
IDE/O- :  idea, thoughts, emotions, image
IDIO- :  unique to or unknown cause
-ID :  state of
ILE/O- :  twisted
ILIO- :  flank
IM- :  into or not
IMMUN/O- :  safe, protect, immune
IN SITU :  in position or location
IN- :  into or not
INCUS :  anvil
INFARCT- :  to stuff into
INFECT/O- :  to invade
INFLAM/O- :  flame within
INFRA- :  under or below
INGUIN/O- :  groin
-ING :  procedure of or process of
INTEGU- :  covering
INTER- :  between
INTRA- :  within
INTRO- :  within
INTUS- :  within
-IN :  substance or chemical
-IOLE :  smaller, lesser, diminutive
ION/O- :  going or ion movement
-IOR :  one who is
-IOUS :  state of
IPSI- :  equal
IR- :  not or lack of
IR/O- :  rainbow
ISCH/O- :  deficiency, blockage, to hold back
ISCHI/O- :  hip joint or hip
-ISH :  resembling or related to
-ISM :  state of or condition of
ISO- :  equal or same
-IST :  specialist
-ITES :  dropsy or drooping
-ITIS :  inflamed or inflammation
-ITY :  state of
-IZE :  state of or acts like
JEJUNO- :  to empty (2nd part of small intestine)
JUNCTIV/O- :  joining or to join
KALI- :  potassium
KARY/O- :  nucleus
KEL/O- :  scar
KERAT/O- :  cornea or horny
KET/O- :  sour or acid
KIL/O- :  one thousand
KINE- :  movement or motion
KRAUR/O- :  dryness
KYPH/O- :  hunchback
LABIO- :  lip
LABYRINTH- :  maze
LACER/O- :  to tear
LACRIM/O- :  tearing or tear
LACT/O- :  milk
LAMIN/O- :  thin, flat plate or thin layer
LAP/I- :  stone
-LAPSE :  falling or slippage
LARYNGO- :  voice box
LAT- :  side
LAX- :  to loosen or loosening
LEI/O- :  smooth
LENT/O- :  freckle
LEPR/O- :  scaly
-LEPSY :  seizure or convulsion
LEPTO- :  thin or slender
LEUK/O- :  white
LEVAT/O- :  lift up
LIBID/O- :  desire
LICHEN/I- :  plant
LIENO- :  spleen
LIGA- :  to bind
LINGU- :  tongue
LIP/O- :  fat
-LISTHESIS :  slippage
-LITER :  liter
LITH/O- :  stone, calculus, or rock
LOB/O- :  lobe
LORD/O- :  swayback or to bend
LUMB/O- :  loin
LUMP- :  small mass
LUNA- :  crescent-shaped or moon
LUPUS :  wolf
LUTE/O- :  yellow
LUX- :  to dislocate
LYMPH/O- :  watery
-LYSIS :  destruction, breakdown, declining
MACER/O- :  to make soft
MACRO- :  large or huge
MACUL/O- :  large spot or flat skin freckle
MAGNI- :  large or greater
MAL- :  bad, harm, injury
MALAC/O- :  soft or softening
MALL/E/OLUS :  little hammer
MALLE/O- :  hammer
MAMM/O- :  breast
MAN/O- :  hand
MAND/I- :  chew or chewer
-MANIA :  madness
MASSET/O- :  chewer or to chew
MASSEUR :  male massager
MAST/O- :  breast
MASTIC/O- :  to chew or chewing
-MATA :  multiple
MAXILL/O- :  upper jaw
MEASLES :  rubella, reddish or red
MEAT/O- :  opening
MEDI- :  middle
MEGA- :  great or big
MEGALO- :  huge or large
MEI/O- and MIO- :  lesser, smaller, fewer, and constrict
MEL- :  sweet, honey, cheek, limb
MELAN/O- :  black
MEN/O- :  monthly or month
MENING/O- :  membrane
MENISC/O- :  crescent
MENT/O- :  mind
-MENTUM :  chin
MES/O- :  middle
META- :  beyond or change
-METER :  measurement
METR/A- :  uterus or womb
-METRY :  measurement procedure
MICRO- :  small
MICTUR/O- :  to make water or urinate
MILLI- :  one thousandth
MINIMUS- :  smallest
MINUTE :  small
-MITR/E :  head band or mitre box
MOL/O- :  to mill or grind
MON/O- :  one
MORPHO- :  shape
MORT/O- :  death
-MOTOR :  movement or motion
MUC/O- :  slime
MULTI- :  many, multiple, excessive
MUMPS :  swelling
MY/O- :  muscle
MYC/O- :  fungus
MYDRI/O- :  to widen
MYEL/O- :  spinal cord or bone marrow
MYRING/O- :  eardrum
MYX/O- :  mucus
NANO- :  1 billionth
NARC/O- :  sleep
NARES :  nose opening
NAS/O- :  nose
NAT- :  birth
NATRI- :  sodium or salt
NAVICUL/O- :  boat or boat-shaped
NECR/O- :  death, dead, dying
NEO- :  new
NEPHR/O- :  kidney
NEUR/O- :  nerve
NEUTR/O- :  neither or neutral
NEV/O- :  birthmark
NIGRA- :  black
NIN/O- :  nine
NOCT/I- :  night or blind
-NOIA :  mind
NUCLE/O- :  nut
NULL/I- :  none or no
NUTRI/O- :  to nourish
-O/PEXY :  to fixate, attach, sew
-O/PLASTY :  repair or plastic surgery
-O/RRHAGIA :  bursting forth or heavy flow
-O/RRHEA :  discharge or flow
-O/RRHEXIS :  rupture or protrusion
OBLIQUE :  sidelong or slanted
OBSTETR/I- :  midwife
OCCIPIT/O- :  back of head
OCCLUSI/O- :  closure or blockage
OCCULT/O- :  hidden
OCT/O- :  eight
OCUL/O- :  eye
ODONT/O- :  tooth
-OID :  resembling
OLEO- :  oil
-OLEUM :  oil
OLFACT/O- :  smelling or smell
OLIG/O- :  few, scanty, slight, little
-OLOG/Y :  science or study of, process of
-OMA :  tumor or swelling
OMO- :  shoulder
OMPHAL/O- :  navel or umbilicus
ONC/O- :  tumor
ONYCH/O- :  nail
OOPHOR/O- :  ovary
OPHTHALM/O- :  eye or eyeball
OPISTH/O- :  backwards (bending)
OPTO- :  vision, sight, eye
ORA- :  mouth
ORB- :  circle or dish
ORCHI/O- :  testes or seed producer
-OREXIA :  appetite
-ORRHAPHY :  suturing or repair
ORTH/O- :  straight, normal, correct
OS- :  mouth
OSCILL/O- :  to swing
-OSE :  sugar
-OSIS :  condition of or disease
OSMO- :  smell
OSTE/O- :  bone
-OSTOMY :  mouth-like opening produced by surgery
OT/O- :  ear
-OTOMY :  cutting, to cut, cut into
-OTRIPSY :  crushing or to crush
OV/O- :  egg
OX/Y- :  sharp or oxygen molecules
PACHY- :  thick
PALAT/O- :  palate, plate, or plate of the mouth roof
PALL/O- :  pale or lack of color
PALM/A- :  palm or palm of hand
PALPAT/O- :  touching or to touch
PALPEBRA- :  eyelid
PALPIT- :  quivering or fluttering
PALSY :  slight or moderate paralysis
PAN- :  all, total, complete
PAPILLA- :  nipple
PARA- :  near, beside, beyond, around, similar, abnormal
-PARESIS :  paralysis
PARIET/O- :  wall or partition
PART/O- :  birth or labor
PATELL/O- :  little dish or kneecap
PATH/O- :  disease
PAUS/O- :  stoppage
PECT/O- :  chest
PED- :  foot or feet
PEDI- :  child
PEDICUL/O- :  lice
PELI- :  purple
PELL- :  skin
PELVI/O- :  base, basin, pelvis
PEN/O- :  tail or penis
-PENIA :  decrease in number
PENT/A- :  five
PEPS/O- :  digestion
PER- :  through
PERI- :  around
PERINE/O- :  base or floor
PERITON/E- :  that which holds the lower viscera
PERONEO- :  pin or concerning the lower outside leg bone
PES :  foot
PETECH/I- :  small
PETIT :  little illness
PETRO- :  rock, stone, hard
PHAGO- :  eat, eating, perverse appetite
PHALANG/O- :  close-knit row (fingers and toes)
PHARMAC/O- :  drug relationship, to drug, medicine
PHARYNG/O- :  throat
PHAS/O- :  speech or speaking
-PHASE :  stage
-PHERESIS :  withdrawal or to separate
-PHILE :  love of, to love, love for
PHIM/O- :  to muzzle or muzzling
PHLEB/O- :  vein
PHOB/O- :  fear
PHOC/O- :  seal
PHON/O- :  voice or sound
PHOR/O- :  feeling (mental)
-PHORESIS :  migration, transport, move, or carry
PHOT/O- :  light
PHRAG/O- :  wall or partition
PHRASO- :  speech or talk
-PHRAXIA :  stoppage or obstruction
PHREN/O- :  mind or diaphragm
-PHYLAXIS :  protection or guard
PHYSI/O- :  function of or nature of
-PHYSIS :  growth or nature of
PHYTO- :  plant
PIA- :  gentle
PIL/O- :  hair
PINN/A- :  feather or feather-like
PITUIT/O- :  phlegm or glue-like mucus
PITYR/I- :  bran (cereal-like scales on skin)
PLACENT/A- :  cake
-PLAKIA :  plate or plate-like
PLAN/O- :  flat or a plane
PLANT/O- :  sole of foot
PLAS- :  growth, development, formation
-PLEG/IA :  paralysis
PLEUR/O- :  side or rib
-PLEXY :  paralysis
-PNEA :  breathe or breathing
PNEUM/O- :  lung, air, respiration
-POIE/SIS :  to make, form, produce
POIKIL/O- :  irregular or varied shape
POLI/O- :  gray
POLLEX- :  thumb
POLY- :  many
PONS :  bridge
POR/O- :  cavity or passage (porous)
POST- :  after or behind
-POX :  pits
PRAND/I- :  meal or breakfast
-PRAX/IA :  movement or action
PRE- :  before
PREPUCE :  foreskin or hood
PRESBYO- :  old
PRIM/I- :  first
PRO- :  before
PROCT/O- :  rectum or anus
PRONE- :  to bend forward
PROPRI/O- :  property (nerve stimuli or information)
PROSTAT/O- :  one who lies before
PROT/O- :  first
PROXIM/O- :  close or closest
PRUR/I- :  itch or itching
PSEUD/O- :  false
PSOAS :  loin or lumbar
PSOR/I- :  to itch
PSYCH/O- :  mind
PTERYG/O- :  winged
-PTOSIS :  to drop, fall, displace
-PTYSIS :  spitting or spit
PUB/O- :  pubis or pubic
PULMON/O- :  lung
PULP/O- :  solid flesh
PUPILL/O- :  pupil
PURPUR/O- :  purple
PYEL/O- :  pelvis or kidney
PYKN/O- :  thick, dense, compact
PYL/O- :  gatekeeper
PYO- :  pus
PYRET/O- :  fever
QUADR/I- :  four
QUINT/I- :  five
RADI/O- :  ray, spoke, X-ray, radioactivity
RADIC/O- :  nerve root or spinal nerve
RAY- :  spoke or wave length
RE- :  again
RECT/O- :  rectum or straight
REN/O- :  kidney
RETICUL/O- :  network
RETINA :  net or net-like
RETR/O- :  back of, behind, backward, after
RHACHI/O- :  jointed vertebrae, spine, spinal column
RHEUMAT/O- :  discharge or flow through
RHIN/O- :  nose
RHOMB/O- :  parallelogram or diamond-shaped
RHYTID/O- :  wrinkles
RICKETTS/IA :  Bacteria discovered by Howard Ricketts/refers to
ROENT/O- :  X-ray
ROTAT/O- :  to turn or swing around
-RRHYTHM :  rhythm or contraction
RUBE/O- :  red
RUG/A- :  folds
SACCHAR/O- :  sugar
SACR/O- :  saucer or sacred bone
SAGITT/O- :  arrow or arrow-like
SALIV/O- :  spit
SALPING/O- :  tube, duct, canal
SARC/O- :  fleshy
SCAB/O- :  to itch
SCAPUL/O- :  shoulder blade
SCHIZ/O- :  split or splitting
SCLER/O- :  hardening
SCOLI/O- :  crooked or twisted
-SCOP/E :  an instrument that examines or views
-SCOPY :  to examine or view
SCOT/O- :  darkness
SCROT/O- :  sac or pouch
SCURVY :  to scratch
SEB/O- :  oil
SECRETO- :  separating or to separate
SECT/O- :  to cut
SEMI- :  half
SEMIN/O- :  seed or seed producer
SENIL/E- :  old
SEPT/A- :  partition or wall
SEPT/I- :  seventh
SEPT/O- :  poison, infection, decay, putrefy
SIAL/O- :  saliva or spit
SIDER/O- :  iron
SILIC/O- :  silicon carbon particles
SIN/O- :  cavity
SINISTR/O- :  to the left or left
SKELET/O- :  dried up or to attach
SOLE- :  the sole of the foot
-SOL :  in solution or solution
SOM/O- :  body
SOMN/O- :  sleep
SON/O- :  sound
SPAD/I- :  to tear
-SPASM :  involuntary contraction
SPERM/O- :  sperm
SPHER/O- :  ball, globe, round
SPHINCT/O- :  that which binds together
SPHYGM/O- :  pulse
SPHYXI/O- :  pulse or lack of pulse
SPIN/O- :  thorn or thorny
SPIR/O- :  breathe or breathing
SPLANCHN/O- :  organ
SPLEN/O- :  spleen
SPONDYL/O- :  vertebra
SPRAIN :  to wring out or press out
SQUAM/O- :  scaly
-STALSIS :  to contract
STAPED/O- :  stirrup
STAPHYL/O- :  grape or grape-like clusters
-STASIS :  stoppage, standing, location
-STAT :  to stop or immediately
-STAXIA :  dripping or trickling
STEAT/O- :  fat
STEN/O- :  narrowing
STEREO- :  three-dimensional or solid
STERN/O- :  chest, sternum, or breastbone
STETH/O- :  chest
-STOLE :  contract
STOMAT/O- :  mouth
STRABISM/O- :  to squint or squinting
STRAIN :  to draw tight
STRAT/I- :  layer
STREPT/O- :  twisted or twisted chain
STRI/A- :  stripes or threads
STRICT/O- :  drawing or binding
STY/E :  raised
SUB- :  beneath, under, less or lesser
SUDORIFER/O- :  sweat
SULF/O- :  sulfur
SUPER- :  above or upon
SUPINAT/O- :  to throw backward
SUPRA- :  above or upon
SUR/A- :  on calf of leg
SURG/I- :  working by hand
SUTURE :  sewing together
SYM- :  together
SYN- :  together
SYNCOPE :  to faint or fainting
SY/STOL/O- :  to draw together or contract
TACHY- :  fast or swift
TAL/O- :  ankle
TARS/O- :  broad flat surface
TART/O- :  dregs, sediment, or particles
TAX/O- :  arrange, to order, to organize, or locate
-TAXIA :  muscle coordination
TEL/O- :  end or outward
TEMPOR/O- :  temple
TEN/O- :  tendon
TENS/O- :  to stretch or stretches
TERAT/O- :  monster
TERES :  round
TERM :  end, place at the end, or boundary
TERT/I- :  third
TEST/E- :  witness
TETAN/O- :  spasm or spasms
TETR/A- :  four
THANAT/O- :  death
THEL/O- :  nipple
THEN/O- :  palm of hand or sole of foot
THEO- :  god
THERAP/O- :  treating or curing
THERM/O- :  heat, hot or warm
THORAC/O- :  chest
THROMB/O- :  clot, clump together, or curdle
THYM/O- :  soul, emotion, flowery smell
THYR/O- :  shield or shield-shaped
TIBIA- :  shinbone
-TIC :  capable of or state of
TINEA- :  fungus
TINNITUS :  jingling, tinkling, ringing
-TION :  process of or procedure of
-TIVE :  nature of or quality of
TOCI/O- :  birth, giving birth, birthing
-TOM/E :  cutting instrument
TON/O- :  tension, tone, pressure
TONSILL/O- :  almond shape
TOP/O- :  location
TORSI- :  twisted
TOX/O- :  poison
TRACHE/O- :  rough
TRACT/O- :  to draw or pull
TRANS- :  across or through
TRAUMA :  wound
-TRESIA :  perforation or opening
TRI- :  three
TRIAGE :  to sort or classify
TRICH/O- :  hair
-TRIGO- :  rubbing
TROCHLE/O- :  pulley or pulley-like
TROP/O- (TROP/IN) :  stimulate or to turn
TROPH/O- :  development, nourishment, or nutrition
-TRIPSY :  to crush
TRYPAN/O- :  borer, to bore, drill
TUB/O- :  canal or tube
TUBERCUL/O- :  swelling, nodule, tubercle
TUM/O- :  swelling or tumor growth
TURGOR/O- :  swelling
-TUSSIS :  cough
TYMPAN/O- :  eardrum
TYPH/O- :  stupor
ULCER- :  sore
-ULE :  small or lesser
ULN/A- :  elbow
ULTRA- :  beyond
UMBILIC/O- :  navel
UNGUIN/O- :  nail
UR/O- :  urine
URETER/O- :  small canal
URETHERO- :  canal
URTICARI/O- :  hives or nettles
UTERO- :  womb
UVE/A- :  grape
VAG/O- :  wanderer (the longest cranial nerve)
VAGIN/O- :  sheath
VALG/U- :  inward
VALVUL/O- :  tiny fold or small valve
VAR/U- :  outward
VARIC/O- :  twisted
VARICELLA :  tiny spot
VAS/O- :  vessel
VEN/O- :  vein
VENTR/O- :  belly
VERA- :  true
VERMI- :  worm
VERRUCA/E- :  wart
-VERSION :  turn or to turn
VERTEBR/O- :  jointed
VERTIGO :  whirling
VESIC/O- :  sac or small blister
VILL/I- :  shaggy hair
VIR/O- :  poison
VISCER/A- :  organ
VIT/O- :  alive, life, living
VITILIG/O- :  to corrupt
VOLV/O- :  to twist, twisting, rolling
VULV/O- :  covering
WHEAL :  round or circle
WHITLOW :  white flow
XANTH/O- :  yellow
XEN/O- :  strange or foreign
XERO- :  dry
YAWS :  raspberry appearance
-Y :  procedure of or process of
ZYGO- :  union
A &amp; A :  awake and aware
A &amp; O :  alert and oriented
A &amp; W :  alive and well 
ACL :  anterior cruciate ligament 
ad lib :  as desired or at liberty 
ALL :  allergy or acute leukocytic leukemia 
AMA :  against medical advice, American Medical Association or advanced maternal age
ASTOL :  as tolerated 
B1 :  Thiamine HCL Vitamin or first degree (Stage I) burn
B2 :  Riboflavin Vitamin or 2nd degree (Stage II) burn
B3 :  3rd degree (Stage III) burn
B4 :  4th degree (Stage IV) burn
B6 :  Pyridoxine HCL Vitamin
B7 :  Biotin Vitamin 
B8 :  Adenosine Phosphate Vitamin 
BaE :  barium enema 
BID :  two times per day 
BP :  blood pressure
BS :  blood sugar, bowel sounds, before sleep, breath sounds, Blue Shield 
BT :  body temperature, bleeding time, brain tumor 
BUN :  blood urea nitrogen 
BX :  biopsy or Blue Cross 
CBC :  complete blood count 
CC :  chief complaint or chief component 
CF :  cystic fibrosis 
CHF :  congestive heart failure 
CL :  contact lenses 
CNA :  chart not available, certified nurse's aide
COPD :  chronic obstructive pulmonary disorder
CO :  cardiac output or computer order 
CP :  cerebral palsy, chest pain 
CVA :  cerebrovascular accident
D &amp; D :  diarrhea and dehydration 
DAD :  drug administration device 
DAT :  diet as tolerated 
DD :  differential diagnosis 
DNS :  did not show 
DPT :  diphtheria, pertussis, and tetanus
DX &amp; PX :  diagnosis and prognosis 
DZ :  disease or dozen 
EKG :  electrocardiogram 
EMG :  electromyography 
ENT :  ear, nose, and throat 
ESWL :  extracorporeal shock wave lithotripsy
FBS :  fasting blood sugar 
FOD :  free of disease 
Fx :  fracture or fractional urine 
GH :  growth hormone 
GI :  gastrointestinal or granuloma inguinal 
GTT :  drop, drops, or glucose tolerance test
H1 :  herpes simplex type 1 
H2 :  herpes simplex type 2 
HAV :  Hepatitis A virus 
HBV :  Hepatitis B virus 
HCV :  Hepatitis C virus 
HI, HOH :  Hearing Impaired or hard of hearing
I &amp; O :  intake and output 
ICU :  intensive care unit 
ID :  infectious disease, initial dose, intradermal 
IV :  intravenous 
KUB :  kidney, ureter, bladder 
LBP :  low blood pressure 
MD :  muscular dystrophy, manic depression, mental deficiency, Medical Doctor 
ml :  milliliter 
MMR :  measles, mumps, and rubella 
MS :  multiple sclerosis, mitral stenosis 
N &amp; V :  nausea and vomiting 
NPO :  nothing by mouth 
OTC :  over the counter 
PE :  physical exam, pulmonary embolism, pleural effusion 
PRN :  as needed 
PROM :  partial range of motion 
QD :  every day or once a day 
QID :  four times per day 
Q :  every 
RBC :  red blood cell 
ROS :  review of systems 
RR :  respiration rate or recovery room 
Rx :  prescription, drug, medication, reaction 
S.O.S. :  if necessary, if urgently required, may be repeated once
sig. :  Let It Be Written, label, instructions 
SOB :  shortness of breath
stat :  immediate 
